station_id,n_events,mean_severity,pool_gap,min_duration
9038,49,21.1318306122449,7,10
9040,69,12.652510144927536,7,10
9044,54,17.471716666666666,7,10
9048,50,20.324786,7,10
9050,46,22.635321739130433,7,10
9063,65,14.258713846153848,7,10
9064,74,12.057121621621622,7,10
9065,67,14.888691044776118,7,10
9074,67,11.760897014925373,7,10
9078,59,16.47702372881356,7,10
9079,63,15.870028571428572,7,10
9093,39,25.6252,7,10
9096,49,14.352704081632654,7,10
9097,37,23.628005405405403,7,10
9101,28,35.76795357142857,7,10
9118,57,18.133471929824562,7,10
9120,56,18.837178571428574,7,10
9124,78,36.22932692307692,7,10
9126,62,14.055651612903224,7,10
9142,68,12.81452794117647,7,10
9150,65,15.50923076923077,7,10
9002,96,10.903628125,10,3
9003,83,11.425740963855421,10,3
9004,124,7.934631451612904,10,3
9005,89,10.537029213483146,10,3
9011,107,9.39931214953271,10,3
9013,152,6.8014302631578945,10,3
9018,134,7.14355671641791,10,3
9020,110,7.750972727272727,10,3
9021,111,8.608831531531532,10,3
9025,91,10.875041758241757,10,3
9027,98,9.623788775510205,10,3
9036,106,10.032174528301887,10,3
9038,58,18.15106724137931,10,3
9040,107,8.675468224299065,10,3
9044,75,12.906322666666666,10,3
9048,66,15.57197878787879,10,3
9050,71,14.973536619718312,10,3
9063,96,10.043739583333332,10,3
9064,111,8.552727927927927,10,3
9065,100,10.455061,10,3
9074,95,8.640502105263158,10,3
9078,83,12.083939759036145,10,3
9079,93,11.153167741935484,10,3
9093,51,19.778839215686272,10,3
9096,65,11.402707692307693,10,3
9097,63,14.758188888888888,10,3
9101,45,22.57704888888889,10,3
9118,90,12.119165555555554,10,3
9120,82,13.26531219512195,10,3
9124,76,37.99551447368421,10,3
9126,109,9.01068256880734,10,3
9142,89,10.193005617977528,10,3
9150,74,13.950631081081081,10,3
9002,85,12.217588235294116,10,5
9003,76,12.427859210526316,10,5
9004,109,8.914125688073394,10,5
9005,79,11.83356582278481,10,5
9011,94,10.548141489361702,10,5
9013,139,7.331071223021583,10,5
9018,116,8.154087068965516,10,5
9020,95,8.902511578947369,10,5
9021,96,9.842884374999999,10,5
9025,82,11.954191463414634,10,5
9027,87,10.791293103448275,10,5
9036,89,11.697477528089887,10,5
9038,52,20.130215384615383,10,5
9040,96,9.585079166666667,10,5
9044,67,14.414977611940298,10,5
9048,58,17.647787931034483,10,5
9050,61,17.382190163934425,10,5
9063,83,11.558544578313253,10,5
9064,92,10.24005,10,5
9065,86,12.08015465116279,10,5
9074,82,9.91095243902439,10,5
9078,69,14.469782608695652,10,5
9079,80,12.864023750000001,10,5
9093,49,20.581189795918366,10,5
9096,59,12.433281355932202,10,5
9097,49,18.72423469387755,10,5
9101,35,28.884100000000004,10,5
9118,76,14.188852631578948,10,5
9120,71,15.24160704225352,10,5
9124,71,40.519801408450704,10,5
9126,90,10.718668888888889,10,5
9142,83,10.888185542168674,10,5
9150,69,14.901342028985509,10,5
9002,76,13.585144736842105,10,7
9003,71,13.272101408450705,10,7
9004,93,10.201370967741935,10,7
9005,68,13.680863235294117,10,7
9011,84,11.643995238095238,10,7
9013,129,7.805625581395349,10,7
9018,97,9.315248453608248,10,7
9020,81,10.103997530864198,10,7
9021,84,11.047225000000001,10,7
9025,76,12.728667105263158,10,7
9027,83,11.247569879518073,10,7
9036,74,13.8237,10,7
9038,47,22.216948936170212,10,7
9040,82,11.083296341463415,10,7
9044,62,15.550545161290321,10,7
9048,53,19.270941509433964,10,7
9050,54,19.552811111111108,10,7
9063,70,13.49282,10,7
9064,81,11.533220987654321,10,7
9065,79,13.075796202531647,10,7
9074,75,10.783486666666667,10,7
9078,62,15.97078870967742,10,7
9079,74,13.86204864864865,10,7
9093,41,24.465746341463415,10,7
9096,55,13.28943818181818,10,7
9097,42,21.61387142857143,10,7
9101,28,35.838057142857146,10,7
9118,70,15.24237,10,7
9120,60,17.798828333333333,10,7
9124,68,42.19635147058824,10,7
9126,76,12.208780263157895,10,7
9142,73,12.281128767123286,10,7
9150,65,15.679361538461539,10,7
9002,66,15.362951515151515,10,10
9003,62,15.090480645161291,10,10
9004,79,11.675335443037975,10,10
9005,63,14.644607936507935,10,10
9011,71,13.487932394366197,10,10
9013,107,8.983044859813084,10,10
9018,83,10.518503614457831,10,10
9020,69,11.663284057971016,10,10
9021,71,12.798633802816902,10,10
9025,69,13.854120289855073,10,10
9027,67,13.647232835820896,10,10
9036,58,16.961674137931034,10,10
9038,42,24.752542857142856,10,10
9040,67,13.192174626865672,10,10
9044,51,18.538398039215686,10,10
9048,49,20.792708163265306,10,10
9050,44,23.664199999999997,10,10
9063,63,14.758073015873016,10,10
9064,68,13.290405882352943,10,10
9065,68,14.903892647058823,10,10
9074,65,12.302207692307693,10,10
9078,56,17.58497142857143,10,10
9079,61,16.550026229508198,10,10
9093,36,27.760638888888888,10,10
9096,48,14.924549999999998,10,10
9097,37,23.863613513513513,10,10
9101,25,40.115216000000004,10,10
9118,59,17.651245762711863,10,10
9120,54,19.689240740740743,10,10
9124,62,45.92704193548387,10,10
9126,61,14.564622950819672,10,10
9142,68,12.971782352941176,10,10
9150,60,16.891156666666667,10,10
9002,74,14.156545945945945,15,3
9003,71,13.365892957746478,15,3
9004,100,9.865506,15,3
9005,76,12.352832894736842,15,3
9011,88,11.453362499999999,15,3
9013,120,8.733299166666665,15,3
9018,108,8.89311388888889,15,3
9020,98,8.708281632653062,15,3
9021,97,9.854705154639175,15,3
9025,75,13.255137333333334,15,3
9027,88,10.744661363636364,15,3
9036,81,13.154909876543211,15,3
9038,53,19.864207547169812,15,3
9040,91,10.201703296703297,15,3
9044,67,14.447788059701493,15,3
9048,61,16.858129508196722,15,3
9050,59,18.034813559322036,15,3
9063,77,12.530061038961039,15,3
9064,105,9.053392380952381,15,3
9065,80,13.072273749999999,15,3
9074,88,9.343142045454545,15,3
9078,74,13.556540540540542,15,3
9079,82,12.654208536585365,15,3
9093,42,24.024438095238093,15,3
9096,56,13.248851785714285,15,3
9097,57,16.31632105263158,15,3
9101,34,29.885461764705884,15,3
9118,81,13.501997530864198,15,3
9120,69,15.783597101449274,15,3
9124,64,45.171034375,15,3
9126,83,11.86064096385542,15,3
9142,72,12.604934722222222,15,3
9150,68,15.18156617647059,15,3
9002,66,15.768392424242423,15,5
9003,65,14.544653846153846,15,5
9004,87,11.218690804597701,15,5
9005,68,13.772726470588236,15,5
9011,78,12.763102564102565,15,5
9013,111,9.356842342342343,15,5
9018,97,9.829627835051546,15,5
9020,87,9.753179310344828,15,5
9021,86,11.016148837209302,15,5
9025,68,14.499607352941176,15,5
9027,83,11.370180722891567,15,5
9036,70,14.947312857142856,15,5
9038,48,21.817393749999997,15,5
9040,81,11.376188888888889,15,5
9044,62,15.588075806451613,15,5
9048,54,18.969159259259257,15,5
9050,54,19.67751111111111,15,5
9063,71,13.551335211267606,15,5
9064,88,10.729457954545454,15,5
9065,71,14.673030985915494,15,5
9074,77,10.597353246753247,15,5
9078,62,16.109359677419356,15,5
9079,72,14.356993055555556,15,5
9093,40,25.2195975,15,5
9096,52,14.138748076923077,15,5
9097,45,20.4232,15,5
9101,30,33.78069666666667,15,5
9118,70,15.47406142857143,15,5
9120,61,17.80105737704918,15,5
9124,59,48.81683050847458,15,5
9126,70,13.922232857142857,15,5
9142,69,13.11500579710145,15,5
9150,63,16.320514285714285,15,5
9002,59,17.55994406779661,15,7
9003,62,15.222095161290323,15,7
9004,77,12.585681818181818,15,7
9005,59,15.806066101694915,15,7
9011,71,13.905157746478874,15,7
9013,105,9.82196761904762,15,7
9018,87,10.717367816091953,15,7
9020,75,10.973433333333334,15,7
9021,78,11.97643076923077,15,7
9025,63,15.449736507936509,15,7
9027,81,11.616303703703704,15,7
9036,60,17.315908333333333,15,7
9038,44,23.753506818181815,15,7
9040,72,12.712148611111111,15,7
9044,59,16.364103389830507,15,7
9048,49,20.859648979591835,15,7
9050,48,22.070347916666666,15,7
9063,59,16.068901694915255,15,7
9064,79,11.8779,15,7
9065,66,15.73225909090909,15,7
9074,71,11.446783098591549,15,7
9078,57,17.387333333333334,15,7
9079,67,15.388370149253731,15,7
9093,35,28.700917142857143,15,7
9096,50,14.690332000000001,15,7
9097,38,23.929976315789474,15,7
9101,27,37.41074444444445,15,7
9118,66,16.346757575757575,15,7
9120,52,20.701825,15,7
9124,56,51.297125,15,7
9126,65,14.842093846153846,15,7
9142,61,14.744301639344263,15,7
9150,59,17.273869491525424,15,7
9002,52,19.739776923076924,15,10
9003,56,16.788098214285714,15,10
9004,68,14.127644117647058,15,10
9005,56,16.60098214285714,15,10
9011,62,15.746225806451614,15,10
9013,96,10.556195833333334,15,10
9018,83,11.165827710843374,15,10
9020,64,12.6487296875,15,10
9021,68,13.514992647058824,15,10
9025,59,16.39918305084746,15,10
9027,68,13.565785294117646,15,10
9036,51,20.101705882352945,15,10
9038,43,24.27980465116279,15,10
9040,62,14.437387096774195,15,10
9044,49,19.328108163265306,15,10
9048,45,22.657902222222223,15,10
9050,42,25.00532619047619,15,10
9063,57,16.56228596491228,15,10
9064,67,13.556355223880598,15,10
9065,58,17.639772413793104,15,10
9074,64,12.611490625,15,10
9078,53,18.627909433962266,15,10
9079,56,18.154369642857144,15,10
9093,31,32.288293548387095,15,10
9096,44,16.426988636363635,15,10
9097,33,26.803339393939396,15,10
9101,25,40.395016,15,10
9118,55,19.151701818181817,15,10
9120,48,22.367333333333335,15,10
9124,52,54.85427307692308,15,10
9126,54,17.37259074074074,15,10
9142,59,15.198230508474577,15,10
9150,54,18.767948148148147,15,10
